Name;Nutritions
Сок яблочный;44
Соленый огурец;14
Соус соевый;53
Соя;359
Спагетти отварные;223
Спагетти (сухой продукт);344
Сухари панировочные;362
Сыворотка;22
Сыр 45%;336
Сыр 50% «Сливочный»;288
Сыр Адыгейский;224
Сыр гауда;350
Сыр «Лёгкий»;300
"Сырок плавленный ""Дружба""";178
"Сыр ""российский""";361
Сыр твердый;358
Тархун;41
Творог 0%;75
Творог 1%;82
Творог 10%;150
Творог 5 %;122
Творог 9%;153
Творожная масса с цукатами;349
Тесто дрожжевое;238
Тесто слоеное дрожжевое;356
Тесто слоёное бездрожжевое;335
Томат;27
Томатная паста помидорка;77
Томатный сок;25
Томаты (парниковые);14
Томаты черри;17
Треска филе;78
Тушенка говядина высший сорт;213
Тыква;22
Укроп;38
Уксус столовый 6-7%;13
Урюк (сухофрукты);213
Фарш говяжий;214
Фарш куриный;166
Фасоль;263
Фасоль «Бондюэль»;74
Фасоль стручковая;29
Фасоль стручковая замороженная;26
Фасоль Фрау Марта;92
"Фасоль ""Фрау Марта"" в томатном соусе";86
Фасоль Фрау Марта Лобио;80
Фенхель;31
Филе куринное;114
Филе куриной грудки;109
Финики (сухофрукты);280
Фруктоза;390
Фундук;665
Хлеб белый;254
"Хлеб ""бородинский""";210
Хлеб пшеничный;263
Хлеб ржаной;187
Хлебцы пшеничные;305
Хлопья кукурузные;373
Хлопья овсяные;308
Хрен;113
Хурма;65
Цветная капуста отварная;29
Цедра апельсина;36
Цедра лимона;28
Цукаты;224
Цукини;18
Черемша;37
Черешня;51
Черника;39
Чернослив (сухофрукты);256
Чеснок;115
Чечевица зелёная;286
Чечевица красная;312
Шампиньоны;26
Шампиньоны замороженные;27
Шампиньоны резанные консервированные;16
Шелковица;52
Шиповник сушёный;253
Шоколад горький 75%;550
Шоколад горький 80%;527
Шоколад молочный;539
Шпинат;22
Щавель;25
Яблоки;60
Яблоки сушёные (сухофрукты);269
Яйца;162
